,y,Steps_day.AVG
1,68.02,10207.2
2,62.0,6853.68
3,68.73,9260.23
4,65.74,4395.29
5,67.36,10857.98
6,75.45,1533.97
7,63.5,9250.21
8,71.54,3439.46
9,73.89,5047.66
10,59.09,4349.71
11,77.83,3485.8
12,68.96,6254.83
13,74.61,9144.69
14,80.19,3303.67
15,66.37,5991.7
16,72.8,2932.57
17,73.38,3638.09
18,82.8,2797.58
19,82.37,6133.62
20,61.58,4370.22
21,59.63,6316.49
22,81.1,4819.37
23,69.58,7288.03
24,67.62,2198.24
25,81.19,3231.59
26,75.7,9672.63
27,71.65,3233.79
28,63.41,5625.53
29,73.77,8755.78
30,73.32,4785.87
31,64.95,6498.24
32,79.63,4269.5
33,75.56,4529.07
34,84.97,593.61
35,78.78,2715.3
36,75.69,3326.25
37,72.17,4908.0
38,66.89,3425.53
39,76.97,2877.34
40,76.36,5212.14
41,62.49,5811.96
42,76.21,6370.54
43,76.66,5047.68
